id,status_group
458,functional
459,non functional
460,functional
461,non functional
462,non functional
463,functional
464,non functional
465,functional needs repair
466,functional
467,non functional
468,non functional
469,functional
470,non functional
471,functional
472,non functional
473,functional needs repair
474,non functional
475,non functional
476,non functional
477,non functional
478,functional
479,non functional
480,functional
481,functional
482,non functional
483,non functional
484,functional
485,functional
486,functional
487,functional
488,non functional
489,functional needs repair
490,non functional
491,non functional
492,functional
493,functional
494,functional
495,functional
496,functional needs repair
497,non functional
498,non functional
499,non functional
500,functional
501,non functional
502,non functional
503,functional
504,functional
505,non functional
506,functional
507,functional
508,non functional
509,functional
510,non functional
511,functional needs repair
512,functional needs repair
513,functional
514,functional
515,functional
516,functional
517,functional
518,functional
519,functional
520,non functional
521,functional
522,functional
523,non functional
524,functional
525,functional
526,functional
527,functional
528,functional
529,non functional
530,functional
531,non functional
532,non functional
533,functional
534,functional needs repair
535,non functional
536,non functional
537,functional
538,functional
539,functional needs repair
540,non functional
541,functional
542,non functional
543,non functional
544,non functional
545,non functional
546,functional
547,functional
548,functional
549,functional needs repair
550,functional
551,functional
552,functional
553,functional
554,non functional
555,functional needs repair
556,functional
557,functional
558,functional
559,functional
560,functional
561,non functional
562,non functional
563,functional
564,non functional
565,non functional
566,functional needs repair
567,non functional
568,non functional
569,non functional
570,functional
571,functional
572,non functional
573,functional
574,functional needs repair
575,functional
576,non functional
577,functional
578,functional
579,functional
580,functional
581,functional needs repair
582,non functional
583,non functional
584,functional needs repair
585,functional needs repair
586,functional
587,functional
588,functional
589,functional
590,functional
591,functional
592,functional needs repair
593,functional
594,non functional
595,functional
596,non functional
597,functional
598,non functional
599,functional
600,non functional
601,functional
602,functional needs repair
603,functional
604,functional
605,functional
606,functional
607,non functional
608,non functional
609,non functional
610,non functional
611,functional needs repair
612,functional
613,functional
614,functional needs repair
615,functional
616,non functional
617,functional needs repair
618,functional
619,functional
620,functional
621,non functional
622,functional
623,non functional
624,functional
625,non functional
626,functional
627,non functional
628,functional
629,functional needs repair
630,functional
631,functional
632,functional
633,functional
634,functional
635,functional
636,non functional
637,functional needs repair
638,functional
639,functional
640,non functional
641,functional
642,functional
643,functional
644,functional
645,functional
646,functional
647,functional needs repair
648,functional needs repair
649,non functional
650,functional
651,functional
652,functional needs repair
653,non functional
654,non functional
655,functional
656,non functional
657,non functional
658,functional needs repair
659,functional
660,functional
661,non functional
662,non functional
663,functional
664,functional
665,functional
666,functional
667,functional
668,non functional
669,functional
670,functional needs repair
671,functional
672,functional needs repair
673,non functional
674,functional needs repair
675,functional
676,functional
677,functional needs repair
678,functional
679,functional
680,non functional
681,non functional
682,non functional
683,functional
684,non functional
685,functional
686,non functional
687,non functional
688,functional needs repair
689,functional
690,functional
691,functional
692,functional
693,non functional
694,functional needs repair
695,functional
696,functional
697,non functional
698,functional
699,non functional
700,functional
701,non functional
702,functional
703,functional
704,functional
705,non functional
706,functional
707,functional
708,functional needs repair
709,functional
710,functional
711,non functional
712,non functional
713,functional
714,functional needs repair
715,functional
716,non functional
717,non functional
718,non functional
719,non functional
720,functional needs repair
721,functional needs repair
722,functional
723,functional needs repair
724,functional needs repair
725,functional
726,functional
727,functional
728,non functional
729,functional needs repair
730,functional
731,functional
732,functional
733,functional
734,functional needs repair
735,non functional
736,non functional
737,functional
738,non functional
739,functional needs repair
740,non functional
741,functional
742,functional
743,functional
744,non functional
745,functional
746,non functional
747,non functional
748,non functional
749,functional needs repair
750,functional
751,functional
752,functional
753,functional
754,functional
755,non functional
756,functional
757,functional
758,non functional
759,non functional
760,functional
761,non functional
762,functional
763,non functional
764,functional
765,functional needs repair
766,functional needs repair
767,non functional
768,functional
769,non functional
770,functional
771,functional
772,functional needs repair
773,non functional
774,functional needs repair
775,non functional
776,non functional
777,non functional
778,functional
779,functional
780,functional
781,non functional
782,non functional
783,functional
784,functional
785,functional
786,functional needs repair
787,functional needs repair
788,functional
789,non functional
790,functional
791,functional
792,functional
793,functional
794,non functional
795,non functional
796,non functional
797,functional
798,functional needs repair
799,functional needs repair
800,functional needs repair
801,functional
802,functional needs repair
803,functional
804,functional needs repair
805,functional
806,functional
807,non functional
808,non functional
809,non functional
810,functional needs repair
811,functional
812,functional
813,functional
814,functional needs repair
815,functional needs repair
816,non functional
817,functional
818,functional
819,functional needs repair
820,functional
821,functional needs repair
822,non functional
823,functional
824,functional
825,functional
826,functional
827,non functional
828,functional
829,non functional
830,functional
831,functional
832,functional
833,non functional
834,non functional
835,functional
836,non functional
837,functional
838,functional
839,functional
840,functional
841,functional
842,non functional
843,non functional
844,functional
845,functional needs repair
846,functional
847,functional needs repair
848,non functional
849,functional
850,non functional
851,functional
852,functional
853,functional
854,functional
855,non functional
856,non functional
857,non functional
858,non functional
859,functional
860,functional needs repair
861,functional
862,functional
863,functional needs repair
864,functional
865,functional
866,non functional
867,functional
868,functional
869,functional
870,functional
871,functional
872,non functional
873,functional
874,functional
875,non functional
876,non functional
877,functional needs repair
878,functional
879,functional
880,functional
881,non functional
882,functional needs repair
883,non functional
884,functional
885,non functional
886,functional
887,non functional
888,functional
889,functional needs repair
890,non functional
891,functional needs repair
892,non functional
893,non functional
894,functional needs repair
895,functional needs repair
896,functional
897,non functional
898,functional
899,functional
900,functional
901,functional
902,functional
903,functional
904,non functional
905,functional
906,functional
907,functional
908,functional needs repair
909,functional needs repair
910,functional
911,functional
912,functional
913,functional
914,non functional
915,non functional
916,functional
917,functional
918,non functional
919,non functional
920,functional
921,functional
922,non functional
923,non functional
924,functional
925,non functional
926,non functional
927,functional
928,non functional
929,functional
930,non functional
931,functional
932,non functional
933,non functional
934,functional
935,functional needs repair
936,functional
937,functional
938,functional
939,non functional
940,functional needs repair
941,functional
942,non functional
943,functional needs repair
944,functional
945,functional
946,functional
947,functional
948,functional
949,non functional
950,functional
951,non functional
952,functional
953,functional needs repair
954,functional
955,non functional
956,functional
957,non functional
958,functional
959,functional
960,functional
961,functional
962,functional needs repair
963,non functional
964,functional needs repair
965,functional
966,non functional
967,functional
968,functional
969,functional
970,non functional
971,functional
972,functional
973,functional
974,functional
975,non functional
976,functional
977,functional
978,functional
979,functional needs repair
980,functional
981,non functional
982,non functional
983,functional
984,functional
985,functional
986,functional
987,functional needs repair
988,functional
989,functional
990,non functional
991,functional
992,non functional
993,functional
994,non functional
995,functional
996,functional
997,functional
998,functional
999,functional
1000,functional
1001,functional
1002,non functional
1003,non functional
1004,functional
1005,non functional
1006,functional
1007,non functional
1008,non functional
1009,functional
1010,functional needs repair
1011,functional
1012,functional
1013,functional
1014,functional needs repair
1015,non functional
1016,functional
1017,non functional
1018,functional
1019,non functional
1020,non functional
1021,functional
1022,functional
1023,non functional
1024,non functional
1025,functional
1026,non functional
1027,functional
1028,functional
1029,functional needs repair
1030,functional
1031,non functional
1032,non functional
1033,functional needs repair
1034,functional
1035,non functional
1036,functional needs repair
1037,functional needs repair
1038,functional needs repair
1039,non functional
1040,non functional
1041,functional
1042,functional
1043,non functional
1044,non functional
1045,functional
1046,functional
1047,non functional
1048,functional
1049,functional
1050,functional
1051,non functional
1052,non functional
1053,non functional
1054,non functional
1055,functional
1056,non functional
1057,functional
1058,functional
1059,non functional
1060,functional needs repair
1061,non functional
1062,functional
1063,functional
1064,functional
1065,functional
1066,functional
1067,non functional
1068,non functional
1069,non functional
1070,functional
1071,non functional
1072,functional
1073,functional
1074,functional
1075,non functional
1076,non functional
1077,functional needs repair
1078,non functional
1079,functional needs repair
1080,functional
1081,non functional
1082,non functional
1083,functional
1084,functional
1085,functional needs repair
1086,functional needs repair
1087,functional
1088,functional
1089,functional needs repair
1090,functional
1091,functional
1092,non functional
1093,non functional
1094,functional
1095,functional needs repair
1096,functional
1097,functional
1098,functional
1099,functional
1100,functional
1101,functional needs repair
1102,non functional
1103,functional
1104,functional
1105,functional needs repair
1106,non functional
1107,functional needs repair
1108,functional
1109,functional
1110,functional
1111,functional
1112,non functional
1113,functional
1114,functional
1115,functional
1116,non functional
1117,functional
1118,functional needs repair
1119,non functional
1120,functional
1121,functional
1122,functional
1123,functional needs repair
1124,functional needs repair
1125,non functional
1126,functional
1127,non functional
1128,non functional
1129,functional
1130,functional needs repair
1131,functional
1132,non functional
1133,non functional
1134,functional
1135,functional
1136,non functional
1137,functional
1138,functional
1139,non functional
1140,non functional
1141,non functional
1142,functional
1143,functional needs repair
1144,functional
1145,functional
1146,non functional
1147,non functional
1148,functional needs repair
1149,functional
1150,functional
1151,functional
1152,functional
1153,non functional
1154,functional
1155,non functional
1156,functional
1157,functional
1158,functional
1159,functional
1160,functional needs repair
1161,non functional
1162,functional
1163,functional
1164,functional needs repair
1165,non functional
1166,functional
1167,non functional
1168,functional
1169,non functional
1170,non functional
1171,functional
1172,non functional
1173,functional
1174,functional
1175,non functional
1176,functional needs repair
1177,non functional
1178,functional
1179,functional
1180,non functional
1181,functional
1182,non functional
1183,non functional
1184,functional
1185,functional needs repair
1186,functional
1187,functional
1188,functional
1189,non functional
1190,non functional
1191,functional
1192,functional
1193,functional
1194,functional
1195,non functional
1196,non functional
1197,functional
1198,functional
1199,non functional
1200,functional
1201,functional
1202,functional
1203,functional
1204,functional
1205,non functional
1206,functional
1207,non functional
1208,non functional
1209,non functional
1210,functional
1211,functional
1212,functional
1213,non functional
1214,functional
1215,functional
1216,functional needs repair
1217,functional
1218,functional needs repair
1219,functional
1220,functional
1221,non functional
1222,functional
1223,functional
1224,non functional
1225,functional
1226,non functional
1227,non functional
1228,functional
1229,functional
1230,functional
1231,functional needs repair
1232,non functional
1233,functional
1234,non functional
1235,functional needs repair
1236,functional
1237,functional needs repair
1238,non functional
1239,non functional
1240,non functional
1241,functional
1242,functional
1243,functional
1244,non functional
1245,non functional
1246,functional needs repair
1247,functional
1248,non functional
1249,functional
1250,functional
1251,functional
1252,functional
1253,functional
1254,non functional
1255,functional
1256,non functional
1257,functional needs repair
1258,functional
1259,functional
1260,functional
1261,non functional
1262,functional needs repair
1263,functional
1264,non functional
1265,non functional
1266,functional
1267,non functional
1268,non functional
1269,functional
1270,functional
1271,functional
1272,non functional
1273,functional
1274,non functional
1275,functional
1276,functional
1277,functional
1278,functional
1279,functional needs repair
1280,non functional
1281,functional needs repair
1282,functional
1283,non functional
1284,functional
1285,functional
1286,functional needs repair
1287,functional needs repair
1288,functional
1289,non functional
1290,non functional
1291,non functional
1292,functional
1293,functional
1294,non functional
1295,non functional
1296,non functional
1297,functional
1298,functional needs repair
1299,non functional
1300,functional needs repair
1301,functional
1302,non functional
1303,functional
1304,functional
1305,non functional
1306,non functional
1307,functional
1308,functional
1309,functional
1310,non functional
1311,non functional
1312,non functional
1313,non functional
1314,functional
1315,functional
1316,functional
1317,non functional
1318,functional
1319,non functional
1320,functional needs repair
1321,non functional
1322,non functional
1323,functional needs repair
1324,functional
1325,non functional
1326,non functional
1327,functional
1328,non functional
1329,functional
1330,non functional
1331,non functional
1332,functional
1333,functional
1334,functional
1335,functional
1336,non functional
1337,functional
1338,functional needs repair
1339,functional
1340,functional
1341,functional
1342,functional
1343,non functional
1344,functional
1345,functional needs repair
1346,functional
1347,functional
1348,non functional
1349,functional
1350,non functional
1351,non functional
1352,functional
1353,functional
1354,functional
1355,non functional
1356,functional needs repair
1357,functional
1358,non functional
1359,functional
1360,non functional
1361,functional
1362,functional
1363,functional
1364,functional
1365,non functional
1366,non functional
1367,functional
1368,functional
1369,functional
1370,functional needs repair
1371,functional
1372,non functional
1373,functional
1374,functional
1375,functional
1376,functional
1377,non functional
1378,functional
1379,non functional
1380,functional
1381,functional
1382,functional
1383,non functional
1384,functional needs repair
1385,non functional
1386,functional needs repair
1387,functional
1388,non functional
1389,functional
1390,non functional
1391,non functional
1392,functional
1393,non functional
1394,functional
1395,non functional
1396,functional
1397,functional needs repair
1398,functional
1399,functional
1400,non functional
1401,functional
1402,non functional
1403,non functional
1404,functional needs repair
1405,functional needs repair
1406,functional needs repair
1407,functional
1408,functional
1409,functional
1410,functional
1411,functional
1412,non functional
1413,functional
1414,functional
1415,functional
1416,non functional
1417,non functional
1418,functional
1419,non functional
1420,functional
1421,functional needs repair
1422,functional
1423,functional
1424,non functional
1425,non functional
1426,non functional
1427,non functional
1428,functional
1429,functional
1430,functional needs repair
1431,functional needs repair
1432,non functional
1433,non functional
1434,functional
1435,functional
1436,non functional
1437,functional
1438,functional needs repair
1439,functional
1440,non functional
1441,non functional
1442,functional
1443,functional needs repair
1444,functional needs repair
1445,functional
1446,non functional
1447,functional
1448,functional
1449,functional
1450,functional needs repair
1451,functional
1452,functional
1453,functional
1454,functional
1455,non functional
1456,functional needs repair
1457,functional
1458,functional
1459,non functional
1460,non functional
1461,functional
1462,non functional
1463,functional
1464,non functional
1465,functional needs repair
1466,non functional
1467,functional
1468,non functional
1469,functional
1470,functional
1471,functional
1472,functional
1473,non functional
1474,functional
1475,functional
1476,functional needs repair
1477,functional
1478,non functional
1479,functional
1480,functional needs repair
1481,functional
1482,functional
1483,functional
1484,functional
1485,non functional
1486,functional
1487,functional
1488,functional
1489,non functional
1490,non functional
1491,functional
1492,functional
1493,functional
1494,non functional
1495,functional
1496,functional
1497,functional
1498,non functional
1499,non functional
1500,non functional
1501,functional
1502,non functional
1503,functional needs repair
1504,functional
1505,functional
1506,non functional
1507,non functional
1508,functional
1509,non functional
1510,functional
1511,functional
1512,functional
1513,non functional
1514,functional needs repair
1515,functional
1516,functional needs repair
1517,non functional
1518,non functional
1519,functional
1520,functional
1521,functional
1522,non functional
1523,functional needs repair
1524,functional needs repair
1525,non functional
1526,functional needs repair
1527,functional
1528,non functional
1529,functional
1530,non functional
1531,non functional
1532,non functional
1533,functional
1534,functional
1535,non functional
1536,non functional
1537,functional
1538,functional
1539,functional
1540,functional
1541,non functional
1542,functional needs repair
1543,functional needs repair
1544,functional needs repair
1545,functional
1546,functional
1547,functional needs repair
1548,functional needs repair
1549,non functional
1550,non functional
1551,functional
1552,non functional
1553,functional
1554,functional
1555,functional
1556,functional
1557,functional
1558,functional
1559,non functional
1560,non functional
1561,functional
1562,functional needs repair
1563,non functional
1564,non functional
1565,functional
1566,functional
1567,functional
1568,non functional
1569,non functional
1570,functional
1571,functional
1572,functional
1573,non functional
1574,functional
1575,functional
1576,functional
1577,functional
1578,functional
1579,functional
1580,functional
1581,functional
1582,functional
1583,non functional
1584,non functional
1585,non functional
1586,non functional
1587,functional
1588,functional
1589,functional
1590,functional
1591,functional needs repair
1592,non functional
1593,functional
1594,functional
1595,functional
1596,functional
1597,functional
1598,non functional
1599,functional
1600,functional needs repair
1601,functional
1602,functional
1603,functional
1604,non functional
1605,non functional
1606,functional
1607,non functional
1608,functional
1609,non functional
1610,non functional
1611,functional
1612,non functional
1613,non functional
1614,non functional
1615,functional
1616,functional
1617,non functional
1618,functional needs repair
1619,non functional
1620,functional
1621,functional needs repair
1622,functional
1623,functional
1624,non functional
1625,non functional
1626,non functional
1627,non functional
1628,functional
1629,functional
1630,functional
1631,functional
1632,functional
1633,functional
1634,functional
1635,non functional
1636,functional
1637,functional
1638,functional
1639,non functional
1640,non functional
1641,non functional
1642,functional
1643,non functional
1644,functional
1645,functional
1646,non functional
1647,non functional
1648,non functional
1649,functional
1650,functional
1651,functional needs repair
1652,functional needs repair
1653,functional
1654,functional
1655,functional
1656,non functional
1657,functional
1658,functional needs repair
1659,functional
1660,functional needs repair
1661,functional
1662,functional
1663,non functional
1664,non functional
1665,functional
1666,functional
1667,functional needs repair
1668,functional
1669,functional
1670,functional
1671,non functional
1672,functional
1673,functional
1674,functional
1675,functional
1676,functional needs repair
1677,functional
1678,functional
1679,non functional
1680,functional
1681,non functional
1682,functional needs repair
1683,non functional
1684,functional needs repair
1685,functional
1686,functional
1687,non functional
1688,functional
1689,functional needs repair
1690,functional
1691,functional
1692,functional
1693,functional
1694,non functional
1695,non functional
1696,functional needs repair
1697,functional
1698,functional needs repair
1699,non functional
1700,non functional
1701,functional needs repair
1702,functional needs repair
1703,functional
1704,functional
1705,functional
1706,non functional
1707,non functional
1708,functional
1709,functional
1710,non functional
1711,functional
1712,non functional
1713,functional
1714,functional
1715,functional needs repair
1716,functional
1717,functional
1718,functional
1719,functional
1720,functional
1721,non functional
1722,non functional
1723,functional needs repair
1724,functional
1725,non functional
1726,non functional
1727,functional needs repair
1728,functional
1729,non functional
1730,functional
1731,non functional
1732,functional needs repair
1733,non functional
1734,non functional
1735,non functional
1736,functional
1737,functional
1738,functional
1739,non functional
1740,functional
1741,non functional
1742,functional
1743,functional
1744,non functional
1745,functional
1746,non functional
1747,non functional
1748,functional
1749,functional needs repair
1750,functional needs repair
1751,functional
1752,functional needs repair
1753,functional
1754,non functional
1755,functional needs repair
1756,non functional
1757,functional
1758,functional
1759,functional
1760,functional
1761,functional
1762,functional
1763,non functional
1764,non functional
1765,non functional
1766,functional
1767,functional
1768,functional needs repair
1769,functional
1770,functional
1771,non functional
1772,functional needs repair
1773,functional needs repair
1774,non functional
1775,functional
1776,functional
1777,non functional
1778,functional needs repair
1779,functional
1780,functional
1781,functional needs repair
1782,non functional
1783,functional
1784,functional
1785,non functional
1786,functional
1787,functional needs repair
1788,functional
1789,non functional
1790,functional
1791,functional
1792,non functional
1793,functional
1794,functional needs repair
1795,functional
1796,functional
1797,functional
1798,non functional
1799,functional
1800,functional
1801,functional
1802,functional
1803,non functional
1804,functional
1805,non functional
1806,functional needs repair
1807,functional
1808,functional needs repair
1809,functional needs repair
1810,non functional
1811,non functional
1812,non functional
1813,functional
1814,non functional
1815,functional
1816,functional needs repair
1817,non functional
1818,functional
1819,functional
1820,functional
1821,non functional
1822,functional
1823,non functional
1824,functional needs repair
1825,non functional
1826,functional
1827,functional
1828,functional
1829,non functional
1830,functional
1831,functional
1832,functional needs repair
1833,non functional
1834,functional needs repair
1835,non functional
1836,non functional
1837,non functional
1838,functional
1839,functional
1840,functional
1841,functional needs repair
1842,non functional
1843,functional
1844,functional
1845,non functional
1846,functional needs repair
1847,functional needs repair
1848,functional
1849,functional needs repair
1850,functional
1851,functional needs repair
1852,non functional
1853,functional
1854,functional
1855,non functional
1856,functional needs repair
1857,non functional
1858,functional
1859,functional needs repair
1860,functional
1861,non functional
1862,non functional
1863,functional
1864,functional
1865,non functional
1866,functional
1867,functional
1868,functional needs repair
1869,non functional
1870,functional
1871,functional
1872,functional
1873,functional
1874,non functional
1875,functional
1876,non functional
1877,non functional
1878,functional
1879,non functional
1880,non functional
1881,functional
1882,non functional
1883,non functional
1884,functional needs repair
1885,functional needs repair
1886,functional needs repair
1887,non functional
1888,functional
1889,functional
1890,functional
1891,non functional
1892,functional
1893,functional
1894,functional
1895,functional
1896,functional
1897,non functional
1898,non functional
1899,functional needs repair
1900,functional
1901,functional
1902,functional
1903,functional needs repair
1904,functional
1905,non functional
1906,functional
1907,functional needs repair
1908,non functional
1909,functional needs repair
1910,functional needs repair
1911,non functional
1912,functional needs repair
1913,functional
1914,functional
1915,functional needs repair
1916,functional
1917,functional
1918,functional
1919,functional needs repair
1920,functional
1921,functional
1922,functional needs repair
1923,non functional
1924,non functional
1925,non functional
1926,functional
1927,non functional
1928,non functional
1929,non functional
1930,non functional
1931,functional
1932,functional
1933,functional needs repair
1934,functional needs repair
1935,non functional
1936,non functional
1937,functional needs repair
1938,functional
1939,functional
1940,functional needs repair
1941,functional
1942,non functional
1943,functional needs repair
1944,functional
1945,non functional
1946,functional
1947,functional
1948,non functional
1949,functional needs repair
1950,functional needs repair
1951,functional needs repair
1952,non functional
1953,functional
1954,functional needs repair
1955,functional
1956,functional
1957,functional
1958,functional needs repair
1959,non functional
1960,functional needs repair
1961,functional
1962,non functional
1963,functional
1964,functional needs repair
1965,functional
1966,non functional
1967,functional
1968,functional needs repair
1969,non functional
1970,functional needs repair
1971,functional needs repair
1972,functional needs repair
1973,functional needs repair
1974,functional
1975,non functional
1976,non functional
1977,non functional
1978,non functional
1979,functional
1980,non functional
1981,functional
1982,functional
1983,functional
1984,functional needs repair
1985,functional
1986,non functional
1987,non functional
1988,functional
1989,functional
1990,functional
1991,functional
1992,non functional
1993,functional
1994,non functional
1995,functional
1996,functional
1997,functional
1998,functional
1999,functional needs repair
2000,non functional
2001,functional
2002,functional
2003,functional needs repair
2004,functional
2005,non functional
2006,functional needs repair
2007,functional
2008,functional
2009,functional
2010,functional
2011,functional
2012,non functional
2013,non functional
2014,functional
2015,non functional
2016,functional
2017,non functional
2018,functional
2019,non functional
2020,functional
2021,functional
2022,non functional
2023,functional needs repair
2024,functional
2025,functional
2026,functional
2027,functional needs repair
2028,non functional
2029,functional
2030,non functional
2031,functional
2032,functional
2033,functional
2034,functional
2035,functional
2036,functional
2037,functional
2038,functional
2039,functional needs repair
2040,functional needs repair
2041,non functional
2042,functional
2043,functional
2044,functional needs repair
2045,functional
2046,non functional
2047,functional
2048,functional needs repair
2049,functional
2050,functional needs repair
2051,non functional
2052,functional
2053,functional
2054,functional
2055,functional
2056,functional needs repair
2057,functional
2058,functional
2059,functional
2060,functional needs repair
2061,non functional
2062,non functional
2063,functional needs repair
2064,functional
2065,functional needs repair
2066,non functional
2067,functional
2068,functional needs repair
2069,non functional
2070,functional needs repair
2071,functional needs repair
2072,functional needs repair
2073,functional
2074,functional
2075,functional needs repair
2076,functional
2077,non functional
2078,functional
2079,functional
2080,non functional
2081,non functional
2082,functional
2083,functional
2084,functional
2085,functional
2086,functional
2087,functional needs repair
2088,functional needs repair
2089,functional
2090,functional
2091,functional
2092,non functional
2093,functional
2094,functional
2095,functional needs repair
2096,functional needs repair
2097,non functional
2098,non functional
2099,functional needs repair
2100,non functional
2101,functional needs repair
2102,functional
2103,functional
2104,functional
2105,non functional
2106,functional
2107,functional needs repair
2108,non functional
2109,non functional
2110,functional
2111,functional needs repair
2112,functional
2113,functional
2114,functional needs repair
2115,functional needs repair
2116,functional
2117,functional
2118,functional
2119,functional
2120,non functional
2121,functional
2122,functional
2123,non functional
2124,functional
2125,functional
2126,functional
2127,non functional
2128,functional needs repair
2129,non functional
2130,functional
2131,functional
2132,non functional
2133,non functional
2134,functional
2135,functional
2136,functional
2137,functional
2138,functional
2139,non functional
2140,functional needs repair
2141,non functional
2142,functional
2143,functional
2144,non functional
2145,non functional
2146,non functional
2147,functional
2148,non functional
2149,non functional
2150,functional needs repair
2151,functional needs repair
2152,functional needs repair
2153,non functional
2154,functional
